Descripcion;IdArticu;StockActual;FechaUltimaEntrada;FechaCaducidad;Puc;Pmc;Pvp;ProveedorHabitual;Laboratorio
DESCUENTO PROMOCION;000000;0;NULL;NULL;0;0;2; ; 
PAGO A CUENTA;000001;0;NULL;NULL;14.9;0;50; ; 
ARTICULOS VARIOS;000002;1;NULL;NULL;1.0068;4.05;0; ; 
ALCOHOL BORICADO A SATURACION (5%) 100 ML SOLUCI;000003;0;NULL;NULL;0;0;15.27;NULL; 
DROSERA HOMACCORD 30 ML GOTAS;000004;0;2016-12-01 00:00:00.000;NULL;11.6622;11.66;16.1;0032;E5154
ACIDO ALFA LIPOICO 300 MG 90 COMPR. LAMBERTS;000006;0;2016-12-01 00:00:00.000;NULL;25.4549;25.45;35.95;0032;P1752
BIMANAN SNACK BARR.CRUJ.CER. CHOCO LECHE;000007;0;2017-01-18 00:00:00.000;NULL;0.9107;0.91;1.75; ;P0216
INTECOL  220 GRS. LAB.SAKAI;000008;0;2017-04-12 00:00:00.000;NULL;11.14;11.14;15;0032;P1841
INMUNOSAN 200 ML;000009;0;2016-12-16 00:00:00.000;NULL;14.8162;14.82;19.5;0032; 
VITAMINOR CALMO COMPLEX 60 CAPS.;000010;0;2018-12-27 00:00:00.000;NULL;40.4382;40.44;49.95;0089; 
SULFATO DE COBRE 1/1000 250 ML SOLUCION TOPICA (;000011;0;NULL;NULL;0;0;15.89;NULL; 
ALGAS 104 COMP -ANA Mª LA JUSTICIA-;000012;0;2023-05-08 00:00:00.000;NULL;8.3996;6.73;11.85; ;P1458
PHYTOLOGIST TRAT.ANTICAIDA 12 AMP.;000013;0;2017-04-03 00:00:00.000;NULL;51.1236;51.12;81; ;00003
UREADIN PACK LOCION 400+GEL 200;000014;0;2017-01-13 00:00:00.000;NULL;11.7139;11.71;18.95; ;E0666
BIMANAN SNACK BARR.CRUJIENTE CER. CHOC.NEGRO;000016;0;2017-01-18 00:00:00.000;NULL;0.9107;0.91;1.75; ;P0216
SEBAMED EMULSION SIN JABON CON ACEITE 50ML;000018;0;NULL;NULL;2.07;2.07;2.95; ; 
L-ARGININE/L-ORNITHINE 5007250 MG  50 VEG. SOLGA;000019;0;2017-03-29 00:00:00.000;NULL;17.345;17.35;23.25;0032; 
ADRENALINA BRAUN 1 MG/ML 1 ML 1 AMP;000020;0;2019-04-17 00:00:00.000;NULL;0.2731;0.27;0.5;0019;E0378
BETER CEPILLO PUAS MADERA PEQUEÑO PROFESIONAL RE;000021;0;2017-07-07 00:00:00.000;NULL;6.0576;6.06;8.95;0204;P0823
OLEUM DERMA DI POMPEIA REGEN. Y VITAL. 50 ML;000022;1;2022-09-06 00:00:00.000;NULL;31.2597;31.26;37.85;0032; 
BETER CEPILLO PUAS MADERA GRANDE PROFESIONAL REF;000023;0;2017-07-07 00:00:00.000;NULL;6.8148;6.81;9.95;0204;P0823
NUTRIMETABOL II 50 SOBRES 5 GRMS;000024;0;2017-02-03 00:00:00.000;NULL;24.2072;24.21;30.17;0032; 
INCAROSE MASCARA  PESTAÑAS NIGHT AND DAY;000025;0;2013-03-27 00:00:00.000;NULL;14.4808;14.48;21.95; ;E1090
SEBAMED LOCION ENRIQUECIDA 50ML;000026;0;NULL;NULL;2.07;2.07;2.95; ; 
ALOE VERA 10.000 MG 90 TABL. LAB.LAMBERTS;000027;0;2017-12-19 00:00:00.000;NULL;14.1367;14.14;19.95;0032;P1752
BIO MASK MASCARILLAS LIFTING INSTANTANEO 1 U;000028;0;2013-12-04 00:00:00.000;NULL;4.316;4.28;6.5; ;E1090
SILLA DE RUEDAS BASIC T/440 RUEDA 600 ASSS;000029;0;2017-02-01 00:00:00.000;NULL;209.43;209.43;360; ; 
LECHE CORPORAL MALVA BLANCA 200 ML WELEDA;000030;0;2017-02-03 00:00:00.000;NULL;11.6104;11.61;15.9;0032;P0205
OBSEQUIO PEDIASURE CHOCOLATE 400G;000031;0;NULL;NULL;0;0;0; ; 
MCDAVID CINTA EPICONDILITIS T. UNICA;000032;0;2016-04-27 00:00:00.000;NULL;13.1842;13.18;22.5;0026; 
MCDAVID PERNERA T-XL;000033;1;2022-08-04 00:00:00.000;NULL;27.7943;27.79;30.95; ; 
NORADRENALINA  NORMON 1 MG/ML 10 ML;000034;0;2019-05-17 00:00:00.000;NULL;3.3100375;3.31;5.45; ;E0378
OBSEQUIO BIODERMA SENSIBIO 100ML AGUA MICELAR;000035;1;NULL;NULL;0;0;0; ; 
SYMBIO FLOR 2 50ML ACTIBIOS;000036;0;2023-05-15 00:00:00.000;NULL;14.56;13.07;17.9;0032; 
SYMBIO FLOR 1 GOTAS 50ML -SYMBIOPHARM-;000037;0;2022-08-05 00:00:00.000;NULL;13.5;13.5;18.5;0032; 
OBSEQUIO ENSURE CHOCOLATE 400G;000038;0;NULL;NULL;0;0;0; ; 
OBSEQUIO ENSURE VAINILLA 400G;000039;0;NULL;NULL;0;0;0; ; 
OBSEQUIO PEDIASURE VAINILLA 400G;000041;0;NULL;NULL;0;0;0; ; 
VOLUVEN 6%  SOLUC. PARA PERFUSION 1 BOLSA;000042;0;2018-12-13 00:00:00.000;NULL;11.82;11.82;17.95; ;P0212
ENZIMAS DIGESTIVAS 100 TABL. LAB.SOLGAR;000043;0;2022-09-22 00:00:00.000;NULL;14.09575392;14.1;25.95;0221;00007
BICARBONATO SODICO BRAUN 1M 1 AMP 10 ML;000044;0;2018-11-20 00:00:00.000;NULL;1.8392;1.84;2.95; ;P0378
CREMA DE DIA GRANADA WELEDA 30 ML;000045;0;2016-10-11 00:00:00.000;NULL;17.7059;17.71;24.25;0032;P0205
OBSEQUIO COBAS PERFIL LIPIDICO;000047;0;NULL;NULL;0;0;0; ; 
LIENDRERA ELECTRICA BUG ZAPPER PEINE (DIHOMA);000049;0;2017-03-27 00:00:00.000;NULL;20.052;20.05;29.95;0114;P0402
OSITO SANITO PESCADO OMEGA 3 50 GELATINAS MASTIC;000050;0;2016-11-02 00:00:00.000;NULL;10.8949;10.89;15.4;0032;P0647
CAUDALIE THE  CREMA DE MANOS Y UÑAS 30 CC VIAJES;000051;0;NULL;NULL;2.45;2.45;3.5; ; 
LIERAC LUMINESCENCE CREMA CORRECTORA 50 ML;000052;1;2013-07-12 00:00:00.000;NULL;37.2334;37.23;0.52; ;00002
ARKOFLEX COLAGENO 360 G SABOR NEUTRO;000053;0;NULL;NULL;13.97;13.97;19.95; ; 
PROPOLIS 1.000 MG 30 CAPS. MARNYS;000054;1;2022-09-26 00:00:00.000;2025-05-01 00:00:00.000;15.6183;15.62;21.1;0032; 
OBSEQUIO SENSILIS CONTORNO UPGRADE;000055;0;NULL;NULL;0;0;0; ; 
OSITO SANITO DORMILON 150 ML -TONGIL-;000056;1;2023-04-27 00:00:00.000;2024-11-01 00:00:00.000;6.9402;6.94;9.8;0032;P0647
OSITO SANITO DEFENSOR 200 ML;000057;1;2023-08-22 00:00:00.000;2025-01-01 00:00:00.000;6.9402;6.94;9.4;0032;P0647
ADENOSINA 6 MG/2 ML VIAL;000058;0;2017-05-10 00:00:00.000;NULL;5.9043;5.9;8.95; ;P0314
