IdArticu;IdFamilia;Familia
000012;4;DIETETICA
000022;4;DIETETICA
000033;13;ORTOPEDIA / BOTIQUIN
000036;4;DIETETICA
000037;4;DIETETICA
000043;4;DIETETICA
000054;4;DIETETICA
000056;4;DIETETICA
000057;4;DIETETICA
000060;26;DERMO CORPORAL
000078;4;DIETETICA
000084;4;DIETETICA
000086;11;LABORATORIO
000087;4;DIETETICA
000088;4;DIETETICA
000091;4;DIETETICA
000094;4;DIETETICA
000097;4;DIETETICA
000099;4;DIETETICA
000100;4;DIETETICA
000101;26;DERMO CORPORAL
000107;30;COLONIAS
000110;12;OPTICA
000112;4;DIETETICA
000113;4;DIETETICA
000115;4;DIETETICA
000120;4;DIETETICA
000122;4;DIETETICA
000137;4;DIETETICA
000138;4;DIETETICA
000148;4;DIETETICA
000149;4;DIETETICA
000152;4;DIETETICA
000153;4;DIETETICA
000165;4;DIETETICA
000167;4;DIETETICA
000170;4;DIETETICA
000171;4;DIETETICA
000185;4;DIETETICA
000189;13;ORTOPEDIA / BOTIQUIN
000190;4;DIETETICA
000192;15;HIGIENE BUCAL
000199;4;DIETETICA
000203;4;DIETETICA
000204;4;DIETETICA
000208;11;LABORATORIO
000209;11;LABORATORIO
000213;4;DIETETICA
000215;4;DIETETICA
000226;4;DIETETICA
000229;4;DIETETICA
000230;13;ORTOPEDIA / BOTIQUIN
000235;4;DIETETICA
000236;4;DIETETICA
000237;4;DIETETICA
000242;4;DIETETICA
000244;4;DIETETICA
000245;4;DIETETICA
000247;4;DIETETICA
000249;26;DERMO CORPORAL
000253;4;DIETETICA
000260;4;DIETETICA
000261;4;DIETETICA
000263;4;DIETETICA
000264;4;DIETETICA
000267;4;DIETETICA
000282;4;DIETETICA
000283;26;DERMO CORPORAL
000287;4;DIETETICA
000289;26;DERMO CORPORAL
000295;4;DIETETICA
000296;26;DERMO CORPORAL
000299;4;DIETETICA
000300;5;PARAFARMACIA OTROS
000304;4;DIETETICA
000305;4;DIETETICA
000320;4;DIETETICA
000324;4;DIETETICA
000329;4;DIETETICA
000337;4;DIETETICA
000349;4;DIETETICA
000350;4;DIETETICA
000352;4;DIETETICA
000357;4;DIETETICA
000365;4;DIETETICA
000377;19;DIETOTERAPICOS CUPON
000378;4;DIETETICA
000382;4;DIETETICA
000383;4;DIETETICA
000386;4;DIETETICA
000388;4;DIETETICA
000389;4;DIETETICA
000397;4;DIETETICA
000403;4;DIETETICA
000409;4;DIETETICA
000410;4;DIETETICA
000416;4;DIETETICA
000418;4;DIETETICA
000423;4;DIETETICA
000431;4;DIETETICA
000438;4;DIETETICA
000441;4;DIETETICA
000442;4;DIETETICA
000449;4;DIETETICA
000460;4;DIETETICA
000473;4;DIETETICA
000474;4;DIETETICA
000475;4;DIETETICA
000476;4;DIETETICA
000478;4;DIETETICA
000481;4;DIETETICA
000484;4;DIETETICA
000498;25;HIGIENE DEL CABELLO
000499;4;DIETETICA
000500;4;DIETETICA
000502;4;DIETETICA
000504;4;DIETETICA
000508;26;DERMO CORPORAL
000516;4;DIETETICA
000518;4;DIETETICA
000525;4;DIETETICA
000526;4;DIETETICA
000528;4;DIETETICA
000530;4;DIETETICA
000539;4;DIETETICA
000541;4;DIETETICA
000542;4;DIETETICA
000544;3;DERMO FACIAL
000547;4;DIETETICA
000549;4;DIETETICA
000552;4;DIETETICA
000562;4;DIETETICA
000563;4;DIETETICA
000567;4;DIETETICA
000568;29;SOLARES
000569;4;DIETETICA
000570;29;SOLARES
000572;29;SOLARES
000575;29;SOLARES
000576;4;DIETETICA
000582;4;DIETETICA
000584;4;DIETETICA
000590;4;DIETETICA
000591;4;DIETETICA
000596;4;DIETETICA
000597;13;ORTOPEDIA / BOTIQUIN
000600;4;DIETETICA
000604;4;DIETETICA
000607;4;DIETETICA
000608;4;DIETETICA
000609;26;DERMO CORPORAL
000610;4;DIETETICA
000611;4;DIETETICA
000612;4;DIETETICA
000615;26;DERMO CORPORAL
000617;26;DERMO CORPORAL
000627;4;DIETETICA
000630;4;DIETETICA
000633;9;VETERINARIA
000635;4;DIETETICA
000637;26;DERMO CORPORAL
000638;4;DIETETICA
000644;4;DIETETICA
000646;4;DIETETICA
000648;3;DERMO FACIAL
000649;4;DIETETICA
000650;4;DIETETICA
000652;31;MUNDO INFANTIL
000671;4;DIETETICA
000674;4;DIETETICA
000675;4;DIETETICA
000678;4;DIETETICA
000683;4;DIETETICA
000685;4;DIETETICA
000688;4;DIETETICA
000689;4;DIETETICA
000696;4;DIETETICA
000698;4;DIETETICA
000731;4;DIETETICA
000733;4;DIETETICA
000734;4;DIETETICA
000735;4;DIETETICA
000758;4;DIETETICA
000781;4;DIETETICA
000785;4;DIETETICA
000798;4;DIETETICA
000799;4;DIETETICA
000801;4;DIETETICA
000808;4;DIETETICA
000815;31;MUNDO INFANTIL
000821;4;DIETETICA
000822;4;DIETETICA
000827;26;DERMO CORPORAL
000831;4;DIETETICA
000836;4;DIETETICA
000845;4;DIETETICA
000853;9;VETERINARIA
000861;4;DIETETICA
000866;4;DIETETICA
000871;31;MUNDO INFANTIL
000875;4;DIETETICA
000884;4;DIETETICA
000889;5;PARAFARMACIA OTROS
000898;5;PARAFARMACIA OTROS
000899;3;DERMO FACIAL
000901;4;DIETETICA
000908;4;DIETETICA
000911;4;DIETETICA
000913;4;DIETETICA
000914;4;DIETETICA
000915;4;DIETETICA
000917;4;DIETETICA
000918;4;DIETETICA
000920;10;HOMEOPATIA
000926;4;DIETETICA
000929;32;EFECT. ACCES. CUPO
000930;4;DIETETICA
000931;17;DIETETICA INFANTIL
000932;4;DIETETICA
000943;4;DIETETICA
000945;4;DIETETICA
000946;4;DIETETICA
000949;4;DIETETICA
000950;25;HIGIENE DEL CABELLO
000951;4;DIETETICA
000952;4;DIETETICA
000953;4;DIETETICA
000959;4;DIETETICA
000961;26;DERMO CORPORAL
000962;4;DIETETICA
000974;31;MUNDO INFANTIL
000980;4;DIETETICA
000984;4;DIETETICA
000997;25;HIGIENE DEL CABELLO
000998;5;PARAFARMACIA OTROS
001000;4;DIETETICA
001010;4;DIETETICA
001013;4;DIETETICA
001014;4;DIETETICA
001028;4;DIETETICA
001033;4;DIETETICA
001036;4;DIETETICA
001037;17;DIETETICA INFANTIL
001038;13;ORTOPEDIA / BOTIQUIN
001047;3;DERMO FACIAL
001048;3;DERMO FACIAL
001049;3;DERMO FACIAL
001050;3;DERMO FACIAL
001051;3;DERMO FACIAL
001054;3;DERMO FACIAL
001062;25;HIGIENE DEL CABELLO
001063;4;DIETETICA
001065;4;DIETETICA
001067;4;DIETETICA
001068;4;DIETETICA
001074;12;OPTICA
001076;4;DIETETICA
001077;4;DIETETICA
001078;4;DIETETICA
001081;4;DIETETICA
001086;4;DIETETICA
001087;13;ORTOPEDIA / BOTIQUIN
001090;4;DIETETICA
001091;4;DIETETICA
001092;4;DIETETICA
001099;4;DIETETICA
001100;4;DIETETICA
001103;4;DIETETICA
001105;4;DIETETICA
001108;4;DIETETICA
001109;4;DIETETICA
001112;4;DIETETICA
001119;4;DIETETICA
001124;13;ORTOPEDIA / BOTIQUIN
001125;13;ORTOPEDIA / BOTIQUIN
001134;13;ORTOPEDIA / BOTIQUIN
001137;29;SOLARES
001139;4;DIETETICA
001140;4;DIETETICA
001141;4;DIETETICA
001146;32;EFECT. ACCES. CUPO
001149;26;DERMO CORPORAL
001151;4;DIETETICA
001158;4;DIETETICA
001176;13;ORTOPEDIA / BOTIQUIN
001177;4;DIETETICA
001182;4;DIETETICA
001187;26;DERMO CORPORAL
001197;26;DERMO CORPORAL
001199;13;ORTOPEDIA / BOTIQUIN
001200;4;DIETETICA
001201;4;DIETETICA
001204;4;DIETETICA
001206;4;DIETETICA
001211;26;DERMO CORPORAL
001217;4;DIETETICA
001220;31;MUNDO INFANTIL
001232;4;DIETETICA
001233;4;DIETETICA
001234;4;DIETETICA
001247;30;COLONIAS
001250;3;DERMO FACIAL
001251;4;DIETETICA
001253;4;DIETETICA
001256;4;DIETETICA
001264;4;DIETETICA
001265;4;DIETETICA
001266;3;DERMO FACIAL
001267;4;DIETETICA
001268;3;DERMO FACIAL
001274;4;DIETETICA
001276;16;NUEVO PARAFARMACIA
001277;4;DIETETICA
001278;4;DIETETICA
001283;13;ORTOPEDIA / BOTIQUIN
001289;16;NUEVO PARAFARMACIA
001301;13;ORTOPEDIA / BOTIQUIN
001305;13;ORTOPEDIA / BOTIQUIN
001307;13;ORTOPEDIA / BOTIQUIN
001310;4;DIETETICA
001336;4;DIETETICA
001340;4;DIETETICA
001358;4;DIETETICA
001359;4;DIETETICA
001375;4;DIETETICA
001380;4;DIETETICA
001382;4;DIETETICA
001387;4;DIETETICA
001389;5;PARAFARMACIA OTROS
001390;4;DIETETICA
001403;4;DIETETICA
001429;4;DIETETICA
001435;4;DIETETICA
001441;4;DIETETICA
001447;4;DIETETICA
001449;4;DIETETICA
001453;4;DIETETICA
001454;4;DIETETICA
001456;10;HOMEOPATIA
001458;4;DIETETICA
001460;4;DIETETICA
001463;4;DIETETICA
001468;6;VARIOS FARMA
001470;6;VARIOS FARMA
001474;6;VARIOS FARMA
001476;6;VARIOS FARMA
001478;4;DIETETICA
001479;4;DIETETICA
001482;5;PARAFARMACIA OTROS
001485;25;HIGIENE DEL CABELLO
001488;4;DIETETICA
001492;3;DERMO FACIAL
001499;3;DERMO FACIAL
001505;4;DIETETICA
001509;4;DIETETICA
001511;4;DIETETICA
001512;26;DERMO CORPORAL
001513;26;DERMO CORPORAL
001514;4;DIETETICA
001519;4;DIETETICA
001520;4;DIETETICA
001521;4;DIETETICA
001526;4;DIETETICA
001527;4;DIETETICA
001528;26;DERMO CORPORAL
001529;5;PARAFARMACIA OTROS
001536;4;DIETETICA
001537;13;ORTOPEDIA / BOTIQUIN
001543;3;DERMO FACIAL
001545;26;DERMO CORPORAL
001546;4;DIETETICA
001547;13;ORTOPEDIA / BOTIQUIN
001548;4;DIETETICA
001549;13;ORTOPEDIA / BOTIQUIN
001550;13;ORTOPEDIA / BOTIQUIN
001554;9;VETERINARIA
001557;4;DIETETICA
001559;4;DIETETICA
001563;4;DIETETICA
001564;5;PARAFARMACIA OTROS
001565;5;PARAFARMACIA OTROS
001569;5;PARAFARMACIA OTROS
001572;4;DIETETICA
001573;4;DIETETICA
001574;4;DIETETICA
001575;4;DIETETICA
001576;31;MUNDO INFANTIL
001577;31;MUNDO INFANTIL
001578;31;MUNDO INFANTIL
001579;4;DIETETICA
001582;4;DIETETICA
001583;4;DIETETICA
001585;4;DIETETICA
001587;25;HIGIENE DEL CABELLO
001588;4;DIETETICA
001591;4;DIETETICA
001593;4;DIETETICA
001594;16;NUEVO PARAFARMACIA
001595;4;DIETETICA
001596;4;DIETETICA
001597;16;NUEVO PARAFARMACIA
001599;4;DIETETICA
001600;13;ORTOPEDIA / BOTIQUIN
001601;4;DIETETICA
001602;4;DIETETICA
001604;4;DIETETICA
001607;4;DIETETICA
001608;10;HOMEOPATIA
001609;4;DIETETICA
001610;4;DIETETICA
001611;4;DIETETICA
001612;4;DIETETICA
001614;4;DIETETICA
001615;4;DIETETICA
001616;4;DIETETICA
001620;4;DIETETICA
001622;4;DIETETICA
001625;4;DIETETICA
001626;10;HOMEOPATIA
001627;13;ORTOPEDIA / BOTIQUIN
001629;13;ORTOPEDIA / BOTIQUIN
001630;13;ORTOPEDIA / BOTIQUIN
001631;4;DIETETICA
001632;13;ORTOPEDIA / BOTIQUIN
001636;13;ORTOPEDIA / BOTIQUIN
001637;13;ORTOPEDIA / BOTIQUIN
001638;13;ORTOPEDIA / BOTIQUIN
001642;13;ORTOPEDIA / BOTIQUIN
001643;4;DIETETICA
001646;4;DIETETICA
001648;16;NUEVO PARAFARMACIA
001649;13;ORTOPEDIA / BOTIQUIN
001650;4;DIETETICA
001651;4;DIETETICA
001653;16;NUEVO PARAFARMACIA
001654;4;DIETETICA
001655;13;ORTOPEDIA / BOTIQUIN
001656;3;DERMO FACIAL
001657;15;HIGIENE BUCAL
001658;4;DIETETICA
